대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
서울대학교,한국강사신문,"엄정식 교수, 서울대학교 미래전연구센터 특별 세미나 발표","서울대학교 미래전연구센터가 마련한 『2026 미래군사전략과정 특별 세미나』가 9월 18일(금) 개최됐다.... 엄 교수는 국내 우주안보 전문가로 한양대, 숙명여대, 국립외교원, 국방대학교 등 다양한 기관과 대중을...",2026-09-20 07:20,https://www.lecturernews.com/news/articleView.html?idxno=210888,https://www.lecturernews.com/news/articleView.html?idxno=210888
서울대학교,스타뉴스,"""이분과 같이 다녀도 되나""..'김연아♥' 고우림, 퀸의 남편인데 '서울대...","조민규와 고우림이 손태진의 서울대학교 후배였기 때문. 조민규는 ""하늘 같은 선배님이시다. 태진 형한테 얻어 먹는 커피랑 밥이 많았다""며 무릎까지 꿇었고 손태진은 ""맥이는 거냐""고 반응했다. 특히 고우림은 ""이분과...",2026-09-20 06:39,https://www.starnewskorea.com/broadcast-show/2026/09/20/2026091922391834042,https://m.entertain.naver.com/article/108/0003471861
서울대학교,뉴스엔,"포레스텔라 조민규 “서울대 손태진 선배, 얻어먹은 밥이 집값 수준” ...","또 대학교 선후배 사이라고 들었다""라고 하자, 손태진은 조민규와 고우림을 언급했다. 서울대 후배인 것. 이에 바로 조민규는 ""여기 하늘 같은 선배님이 계신다. 저는 여기가 편해요""라며 무릎을 꿇어 웃음을...",2026-09-20 06:24,https://www.newsen.com/news_view.php?uid=202609200450352110,https://m.entertain.naver.com/article/609/0001170720
서울대학교,연합뉴스,중정서 사흘만에 변사체…최종길 서울대교수 사건 다시 진실화해위로,"최종길 서울대 법대 교수다. 당시 중앙정보부 차장이었던 김치열은 6일 만에 그의 죽음에 대해 이렇게... "" 학원사태란 그해 10월 전국으로 확산한 반유신투쟁의 시발점이었던 서울대 반유신 시위를 가리킨다....",2026-09-20 05:55,https://www.yna.co.kr/view/AKR20260919056000004?input=1195m,https://n.news.naver.com/mnews/article/001/0016322945?sid=102
서울대학교,연합뉴스,"서울대 출신 스타트업 대표, 전문연구요원 병역비리 가담 혐의 송치",의혹도 서울대 출신 스타트업 창업자가 전문연구요원으로 특정인을 채용한 뒤 근태 이력을 꾸며내는 등 병역 비리에 가담한 혐의로 검찰에 넘겨졌다. 20일 연합뉴스 취재에 따르면 서울 서초경찰서는 로봇 개발업체 대표...,2026-09-20 05:55,https://www.yna.co.kr/view/AKR20260919056100004?input=1195m,https://n.news.naver.com/mnews/article/001/0016322946?sid=102
서울대학교,THEDAILYPOST,"코웨이, 서울대 '미생물 분해 기술' 품었다…음식물처리기 적용",코웨이가 서울대학교와 공동 연구한 음식물쓰레기 미생물 분해 기술을 이전받아 음식물처리기 신제품에 적용한다. 코웨이는 서울대와 산학협력을 통해 개발한 '미생물을 활용한 음식물쓰레기 분해 혼합 균주 개발 기술...,2026-09-19 23:48,https://www.thedailypost.kr/news/articleView.html?idxno=115736,https://www.thedailypost.kr/news/articleView.html?idxno=115736
서울대학교,TV리포트,"조민규, 손태진 미담 공개 ""서울대 시절 얻어먹은 밥만 해도 집 사"" ('불...","같은 경연 프로그램 출신이고, 서울대학교 선후배 사이라고. 손태진이 조민규, 고우림이 후배라고 하자, 조민규는 바로 무릎을 꿇고 ""하늘 같은 선배님이 이렇게 또 계셔서""라며 너스레를 떨었다. 손태진은 ""일부러...",2026-09-19 19:58,https://www.tvreport.co.kr/broadcast/article/1076881/,https://m.entertain.naver.com/article/213/0001401776
서울대학교,엑스포츠뉴스,"조민규, '서울대 선배' 손태진 미담…""얻어먹은 밥·커피만 집 한 채 값...","포레스텔라 조민규와 고우림이 서울대 선배 손태진과의 학창 시절 인연을 공개했다. 19일 방송된 KBS 2TV... 같은 경연 프로그램 출신""이라면서 ""대학교 선후배 사이라고 들었다""고 말했다. 손태진은 ""(조)민규랑 (고)...",2026-09-19 19:50,https://www.xportsnews.com/article/2197546,https://m.entertain.naver.com/article/311/0002058864
서울대학교,SLIST,"포레스텔라 고우림·조민규, 손태진 서울대 후배...""아낌없이 밥 사줘""","'불후의 명곡' 손태진, 포레스텔라가 출연했다. 19일 방송된 KBS 2TV '불후의 명곡'에는 포레스텔라, 손태진이 함께 무대를 꾸몄다. 사진=KBS 포레스텔라와 대학 선후배이지 않냐는 질문에 손태진은 ""민규랑 우림이가 (후배)...",2026-09-19 19:40,https://www.slist.kr/news/articleView.html?idxno=767428,https://www.slist.kr/news/articleView.html?idxno=767428
서울대학교,MBC,"포레스텔라 조민규-고우림, ‘서울대 선배’ 손태진 칭찬 “학교의 자랑...","‘서울대 성악과’ 포레스텔라 조민규-고우림이 선배 손태진에게 존경심을 표현한다. 9월 19일 방송되는... 서울대에서 성악을 전공한 손태진과 포레스텔라의 조민규, 고우림은 ‘불후’에서 재회해 반가움을...",2026-09-19 18:06,http://enews.imbc.com/News/RetrieveNewsInfo/518726,https://m.entertain.naver.com/article/408/0000321944
