대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
서울대학교,핀포인트뉴스,"SKT 정재헌 CEO, 서울대서 AI 특강…""AX, 불편함의 골짜기 견뎌야""",정재헌 SK텔레콤 최고경영자(CEO)가 지난 1일 서울대학교 제1공학관에서 대학(원)생 약 300명을 대상으로 'AI... SK텔레콤은 정 CEO가 지난 1일 서울대학교 제1공학관에서 대학(원)생 약 300명을 대상으로 'AI 시대의 선택과...,2026-09-03 07:58,https://www.pinpointnews.co.kr/news/articleView.html?idxno=483134,https://www.pinpointnews.co.kr/news/articleView.html?idxno=483134
서울대학교,VOP,"[사설] 첫발 뗀 ‘서울대 10개 만들기’, 지역균형발전으로 가려면","서울대 10개 만들기의 목표는 서울대를 그대로 복제하는 데 있는 것이 아니라, 수도권에 집중된 교육연구 자원을 분산하고 지역의 경쟁력을 높이는 동시에 서울의 일부 대학을 정점으로 굳어진 학벌 중심의 대학...",2026-09-03 07:50,https://vop.co.kr/A00001696505.html,https://vop.co.kr/A00001696505.html
서울대학교,세계일보,“전북대 배제한 ‘서울대 10개 만들기’ 규탄”…동문회 등 평가 과정...,“평가 기준·배점·심사위원·탈락 사유 공개해야” 전북민주화운동기념사업회·총동창회 등 공동성명 총장 PT 등 동등한 소명 기회 여부도 해명 요구 전북대학교가 정부의 ‘서울대 10개 만들기’ 사업 선정에서 제외된...,2026-09-03 06:04,https://www.segye.com/newsView/20260902520862?OutUrl=naver,https://n.news.naver.com/mnews/article/022/0004155981?sid=102
서울대학교,충청투데이,[사설] '서울대 10개 만들기' 선정된 충남대 앞에 놓인 과제,"사설 충남대가 9개 지방 거점국립대 가운데 부산대, 전남대와 함께 '서울대 10개 만들기' 패키지 지원대학에... 정부가 서울대 10개 만들기 프로젝트에 공을 들이는 이유는 대학이 수도권 1극 주의에 미치는 영향이 그만큼...",2026-09-03 06:02,https://www.cctoday.co.kr/news/articleView.html?idxno=2236044,https://www.cctoday.co.kr/news/articleView.html?idxno=2236044
서울대학교,영남일보,"[사설] 경북대 탈락 서울대 10개 만들기, 후속 로드맵 제시해야","정부의 핵심 고등교육 정책인 '서울대 10개 만들기' 패키지 지원 대학에 부산대, 전남대, 충남대 3곳이 최종... 정부는 1차 선정 발표 이후 대학가와 지역사회에 번지는 혼란을 속히 해소해야 한다.정부는 먼저 '서울대 10개...",2026-09-03 06:00,https://www.yeongnam.com/web/view.php?key=20260902027216111,https://www.yeongnam.com/web/view.php?key=20260902027216111
서울대학교,경향신문,"문재인 청와대보다 서울대 비율 10% 낮고, 민간 출신 10% 높아[이재명 시...","서울대 출신은 21명, 30.4%로 문재인 정부 23명, 40.4%에 비해 10%포인트 줄었다. 연세대, 고려대 등을 합쳐 3개 대학 비율로 따져봐도 53.6%로 문재인 정부의 59.6%에 비해 감소했다. 이재명 비서실에서는 성균관대가...",2026-09-03 06:00,https://www.khan.co.kr/article/202609030600091,https://n.news.naver.com/mnews/article/032/0003468158?sid=100
서울대학교,헤럴드경제,경북대 총동창회 “서울대 10개 만들기 탈락…평가 기준·선정 과정 투명...,"전날 교육부는 서울대 10개 만들기 패키지 지원 대학으로 부산대와 전남대, 충남대 등 3곳을 선정했으며 2030년까지 대학교당 약 700억원의 예산을 매년 투입할 예정이라고 발표했다. 이에 대해 경북대 총동창회는 ‘THE...",2026-09-03 05:56,https://biz.heraldcorp.com/article/10860880?ref=naver,https://n.news.naver.com/mnews/article/016/0002692070?sid=102
연세대학교,메디게이트뉴스,"아주대·연세대, 스마트 콘택트렌즈·AI 기반 비침습 요산 모니터링 기...",아주대병원 아주대학교 의과대학 약리학교실 조성권 교수팀과 연세대학교 신소재공학과 박장웅 교수팀이 스마트 콘택트렌즈와 인공지능(AI) 디지털 트윈 기술을 융합한 비침습 맞춤형 요산 모니터링 시스템을...,2026-09-03 05:40,https://www.medigatenews.com/news/1794504004,https://www.medigatenews.com/news/1794504004
서울대학교,부산일보,[사설] '서울대 10개 만들기' 거점대학 된 부산대 어깨 무겁다,"정부가 교육 분야 핵심 국정 과제로 ‘서울대 10개 만들기’를 지정해 추진한 것도 이런 이유다. 정부가 이... 교육부는 지난 1일 ‘서울대 10개 만들기 패키지 지원 대학’ 최종 3개교로 부산대와 전남대, 충남대 등...",2026-09-03 05:10,https://www.busan.com/view/busan/view.php?code=2026090218003814184,https://n.news.naver.com/mnews/article/082/0001396681?sid=110
서울대학교,JBSORI,"전북대 총동창회 등 동문 단체들 ""전북대 배제한 '서울대 10개 만들기' ...","전북대학교 전경(사진=전북대 제공) 전북대학교 총동창회와 (사)전북민주화운동기념사업회, 전북대학교 민주동문회는 정부의 '서울대 10개 만들기' 사업에서 국가거점국립대학인 전북대학교가 탈락한 것과 관련해 평가...",2026-09-03 05:10,http://www.jbsori.com/news/articleView.html?idxno=17826,http://www.jbsori.com/news/articleView.html?idxno=17826
