대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
연세대학교,더벨,"[더벨]연세대, 세 번째 AC 확보…미래캠퍼스 벤처투자 시동",연세대학교가 세 번째 액셀러레이터(AC)를 확보했다. 올해 원주 미래캠퍼스를 기반으로 미래기술지주회사를... 기술지주회사로서는 미래캠퍼스와 원주의과대학의 교원·학생 창업기업을 중심으로 기술사업화와 투자를...,2026-08-31 07:02,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202608271422576200103221,https://www.thebell.co.kr/free/content/ArticleView.asp?key=202608271422576200103221
서울대학교,영남일보,[박종문의 캠퍼스 오디세이] 서울대 10개는 어디로 갔나,"이재명 정부의 대표적인 고등교육정책인 '서울대 10개 만들기'라는 이름은 남아 있지만, 정부가 내놓은 실행안을 들여다보면 당초 공약과 정책의 강조점이 적지 않게 달라졌다. 지역 거점국립대를 서울대에 버금가는...",2026-08-31 06:02,https://www.yeongnam.com/web/view.php?key=20260830023195134,https://www.yeongnam.com/web/view.php?key=20260830023195134
고려대학교,스타뉴스,"키움 히어로즈, 9월 2일 고척 홈 경기서 '고려대학교 DAY' 진행",키움 히어로즈가 내달 2일 오후 6시 30분 고척스카이돔에서 열리는 SSG 랜더스와 경기에서 '고려대학교 DAY' 행사를 진행한다. 이날 고려대학교 DAY를 맞아 고려대학교 총학생회 이지민 중앙비상대책위원장이 시구를...,2026-08-31 03:00,https://www.starnewskorea.com/sports/2026/08/31/2026083022350538745,https://m.sports.naver.com/kbaseball/article/108/0003466541
연세대학교,강원일보,연세대 원주세브란스기독병원 환자용 모바일 앱 서비스,"연세대 원주세브란스기독병원이 이달부터 환자들의 병원 이용 편의성을 높이기 위한 환자용 모바일 앱 서비스를 시작했다. 이번 모바일 앱은 ‘병원을 손안에서, 더 쉽고 빠르게’를 목표로 환자들이 병원을 이용하는...",2026-08-31 00:09,https://www.kwnews.co.kr/article/20260828500145,https://n.news.naver.com/mnews/article/087/0001214413?sid=102
서울대학교,APNEWS,"KT, 서울대·카이스트와 공동연구 결실…AI 사업 경쟁력으로 잇는다","KT(대표이사 박윤영)는 서울 서초구 KT우면연구센터에서 '서울대-KT-KAIST 산학 공동연구 최종 성과 워크숍'을 개최했다고 30일 밝혔다. 행사에는 KT와 서울대, KAIST 연구진 약 50명이 참석해 최근 1년간 진행한 공동연구...",2026-08-30 23:18,https://www.apnews.kr/news/articleView.html?idxno=3050835,https://www.apnews.kr/news/articleView.html?idxno=3050835
고려대학교,이뉴스투데이,"고려대, '2026년 인문사회 분야 학술지원 집단연구' 6개 과제 선정","먼저, KU마음건강연구소(소장 최기홍)가 주관하는 컨소시엄(고려대 고령사회연구원, 경희대 글로벌류큐·오키나와연구소, 일본 무사시노대학교 인간과학연구소 총 4개 기관)은 글로벌인문사회융합연구(컨소시엄형)...",2026-08-30 20:51,http://www.enewstoday.co.kr/news/articleView.html?idxno=2464374,http://www.enewstoday.co.kr/news/articleView.html?idxno=2464374
연세대학교,점프볼,‘볼 없는 움직임 숙제’ 연세대 장혁준 “몇 분 뛰든 소중하게 여기겠...,"연세대는 지난 3년 동안 대학농구리그 44경기를 치르면서 7패를 당했는데 올해 대학농구리그 15경기에서 7패를 기록 중이다. 내년이 더 걱정이다. 이채형과 이주영, 이해솔, 홍상민이 졸업한다. 3학년은 김승우 한...",2026-08-30 19:21,https://m.sports.naver.com/basketball/article/065/0000301134,https://m.sports.naver.com/basketball/article/065/0000301134
고려대학교,스포츠서울,"프로야구단과 명문대가 만난다! 키움, 내달 2일 SSG전서 ‘고려대학교 ...",키움이 ‘고려대학교 DAY’를 개최한다. 키움은 “내달 2일 서울 고척스카이돔에서 열리는 2026 KBO리그 정규시즌 SSG전에서 ‘고려대학교 DAY’를 진행한다”고 30일 밝혔다. 시구와 시타는 고려대학교 총학생회 이지민...,2026-08-30 18:59,https://www.sportsseoul.com/news/read/1631796?ref=naver,https://m.sports.naver.com/kbaseball/article/468/0001262985
고려대학교,국민일보,“병원 가고 싶어도 갈 수 없었는데”…태국인 이주민 찾아간 고대구로...,고려대학교구로병원(고대구로병원) 기독교수회·기독신우회와 희년의료공제회가 마련한 의료봉사 현장이다. 내과와 산부인과 의사 등 의료진과 봉사자 40여명이 참여했다. 새생명태국인교회 교인과 비기독교인을 포함한...,2026-08-30 18:49,https://www.kmib.co.kr/article/view.asp?arcid=9000007414&cp=nv,https://n.news.naver.com/mnews/article/005/0001869781?sid=103
연세대학교,뉴시스,"""연예인인 줄""…'쇼트트랙 스타' 이유빈, 연세대 졸업","관문인 대학 졸업 소식을 전하며 눈부신 미모의 근황을 공개했다. 지난 29일 이유빈은 자신의 소셜네트워크서비스(SNS) 계정을 통해 ""굿바이, 연세""라는 문구와 함께 연세대학교 졸업식 현장에서 찍은 여러 장의 사진을...",2026-08-30 18:33,https://www.newsis.com/view/NISX20260830_0003768184,https://m.sports.naver.com/general/article/003/0014157228
