대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
연세대학교,에듀동아,"서울대·연세대 수시 경쟁률 낮아져…""안정 지원 경향""","이에 따라 서울대 수시 경쟁률 8.12대1에서 7.37대1, 연세대 15.10대1에서 14.02대1로 하락했고, 고려대는 20.35대1에서 20.46대1로 상승했다. 3개 대학 인문계열의 주요 학과 경쟁률을 보면, 서울대 사회학과...",2026-09-10 07:52,https://edu.donga.com/news/articleView.html?idxno=111772,https://edu.donga.com/news/articleView.html?idxno=111772
서울대학교,에듀동아,"서울대·연세대 수시 경쟁률 낮아져…""안정 지원 경향""","2027학년도 수시모집에서 서울대, 연세대, 고려대의 평균 경쟁률이 14.4대1을 기록해 지난해 14.93대1보다... 학교별로 보면 서울대와 연세대의 지원자수가 줄었다. 전년대비 서울대 지원자수는 1,443명(8.0...",2026-09-10 07:52,https://edu.donga.com/news/articleView.html?idxno=111772,https://edu.donga.com/news/articleView.html?idxno=111772
연세대학교,에듀동아,서울대·연세대 수시 경쟁률 떨어져… 의대 경쟁률 3개 대학 모두 하락,"○ 반도체 계약학과는 대학별 엇갈려… 고려대 상승, 연세대는 소폭 하락 반도체 계약학과의 경쟁률은 대학별로 엇갈렸다. 고려대 반도체공학과는 모집인원이 전년과 동일한 가운데 지원자가 337명에서...",2026-09-10 07:42,https://edu.donga.com/news/articleView.html?idxno=111771,https://edu.donga.com/news/articleView.html?idxno=111771
서울대학교,에듀동아,서울대·연세대 수시 경쟁률 떨어져… 의대 경쟁률 3개 대학 모두 하락,"2027학년도 수시모집에서 서울대, 연세대, 고려대의 지원자가 전년보다 3,326명 감소한 것으로... 입시업체 진학사가 각 대학이 발표한 2027학년도 수시모집 최종 경쟁률을 분석한 결과, 서울대, 연세대...",2026-09-10 07:42,https://edu.donga.com/news/articleView.html?idxno=111771,https://edu.donga.com/news/articleView.html?idxno=111771
고려대학교,메디게이트뉴스,"고려대 안산병원 장영우 교수, GOSTA 술기 교육 9월 16명 대상 실시","고려대학교 안산병원 유방내분비외과 장영우 교수가 개발한 단일공 갑상선암 로봇수술법 'GOSTA(Gas... 지난 2일에는 국내 의료진 6명이, 9일에는 대만 국립대만대학병원(National Taiwan University Hospital)과...",2026-09-10 06:44,https://www.medigatenews.com/news/2355294450,https://www.medigatenews.com/news/2355294450
서울대학교,영남일보,[영남시론] 대구·경북에만 없는 ‘서울대’,대학 체제가 서울 중심의 최상위권 일부 대학이 아니라 균형적인 고등교육 생태계로 건전하게 안정되고 확산되기를 희망한다며 시작한 것이 '서울대 10개 만들기'였다.하지만 일부 대학만을 선별해 예산을 몰아주는...,2026-09-10 06:00,https://www.yeongnam.com/web/view.php?key=20260909029437666,https://www.yeongnam.com/web/view.php?key=20260909029437666
서울대학교,조선일보,[단독] 서울대 총장 예비 후보 4명 추려… 연임 도전한 유홍림 탈락,"예비 후보자 4인은 17일 서울 연건 캠퍼스, 22일 관악 캠퍼스에서 소견 발표회를 한다. 이어 10월 7일 교원·직원·학생으로 구성된 정책 평가단 투표를 거쳐 최종 후보 3인을 선정한다. 서울대 이사회는 이 가운데 1명을...",2026-09-10 05:01,https://www.chosun.com/national/national_general/2026/09/10/E6XE4HJ3SJBANBXN2X3TA3BX3Y/?utm_source=naver&utm_medium=referral&utm_campaign=naver-news,https://n.news.naver.com/mnews/article/023/0003997642?sid=102
서울대학교,동아일보,"서울대, 석좌교수 3명 신규-연장 임명",서울대가 교원 연구 활동 지원을 위해 전임교원 3명을 석좌교수로 선정했다. 9일 서울대는 김빛내리(생명과학부) 김병준(동양사학과) 성영은(화학생물공학부) 등 교수 3명을 1일 석좌교수로 임용했다고 밝혔다. 김병준...,2026-09-10 04:35,https://www.donga.com/news/People/article/all/20260910/134638891/2,https://n.news.naver.com/mnews/article/020/0003747073?sid=102
고려대학교,동아일보,"김동원 고려대 총장, 연세대서 名博",연세대는 9일 김동원 고려대 총장에게 명예 철학 박사 학위를 수여했다고 밝혔다. 이날 열린 학위 수여식에서 윤동섭 연세대 총장은 “고려대 총장으로 재임하면서 인공지능(AI)과 인간 지능의 조화를 비롯한 교육과 연구...,2026-09-10 04:34,https://www.donga.com/news/People/article/all/20260910/134638897/2,https://n.news.naver.com/mnews/article/020/0003747071?sid=102
연세대학교,동아일보,"김동원 고려대 총장, 연세대서 名博",연세대는 9일 김동원 고려대 총장에게 명예 철학 박사 학위를 수여했다고 밝혔다. 이날 열린 학위 수여식에서 윤동섭 연세대 총장은 “고려대 총장으로 재임하면서 인공지능(AI)과 인간 지능의 조화를 비롯한 교육과 연구...,2026-09-10 04:34,https://www.donga.com/news/People/article/all/20260910/134638897/2,https://n.news.naver.com/mnews/article/020/0003747071?sid=102
