대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
서울대학교,한국경제,"키움증권, 서울대기술지주와 유망기업 발굴 '맞손'",키움증권이 서울대기술지주와 유망기업 발굴에 나선다. 키움증권은 28일 서울대기술지주와 생산적 금융과 모험자본 확대를 위한 전략적 업무협약(MOU)을 체결했다고 밝혔다. 키움증권의 투자 역량과 서울대기술지주의...,2026-08-28 10:49,https://www.hankyung.com/article/202608289032i,https://n.news.naver.com/mnews/article/015/0005325880?sid=101
서울대학교,SMARTTODAY,"키움증권·서울대기술지주, 혁신기업 발굴·성장단계별 자금공급 맞손",키움증권은 28일 오전 서울 영등포구 여의도 본사에서 서울대기술지주와 생산적 금융 및 모험자본 확대를 위한 전략적 업무협약(MOU)을 체결했다. 서울대기술지주는 서울대가 지난 2008년 설립한 투자기관이다. 초기...,2026-08-28 10:46,https://www.smarttoday.co.kr/ko-kr/articles/110909,https://www.smarttoday.co.kr/ko-kr/articles/110909
서울대학교,NEWSMAP,"키움증권, 서울대기술지주와 혁신기업 발굴 '맞손'","서울대기술지주는 2008년 서울대학교가 설립한 기관으로, 혁신 창업기업의 발굴과 투자, 육성을 담당하고 있다. 협약식은 28일 오전 서울 여의도 키움증권 본사에서 진행됐다. 이번 협약을 통해 양사는 생산적 금융 기반...",2026-08-28 10:44,https://www.newsmap.co.kr/news/articleView.html?idxno=2646,https://www.newsmap.co.kr/news/articleView.html?idxno=2646
서울대학교,더팩트,"키움증권, 서울대기술지주와 맞손…IPO까지 유망기업 공동발굴",키움증권은 28일 오전 서울 영등포구 키움증권 본사에서 서울대기술지주와 생산적 금융과 모험자본 확대를 위한 전략적 업무협약(MOU)을 체결했다고 밝혔다. 서울대기술지주는 서울대학교가 2008년 설립한 투자기관으로...,2026-08-28 10:40,https://news.tf.co.kr/read/economy/2359060.htm,https://n.news.naver.com/mnews/article/629/0000528417?sid=101
서울대학교,핀포인트뉴스,"키움증권, 서울대기술지주와 모험자본 확대 협력",엄주성(왼쪽) 키움증권 대표와 차인환 서울대기술지주 대표가 28일 오전 서울 여의도 키움증권 본사에서 생산적 금융 및 모험자본 확대를 위한 전략적 업무 협약식을 맺고 기념촬영을 하고 있다. 사진=키움증권 초기...,2026-08-28 10:38,https://www.pinpointnews.co.kr/news/articleView.html?idxno=481462,https://www.pinpointnews.co.kr/news/articleView.html?idxno=481462
서울대학교,연합뉴스TV,"키움증권, 서울대기술지주와 모험자본 확대 협력 업무협약","이날 오전 서울 여의도 키움증권 본사에서 진행된 협약식에 참석한 엄주성 키움증권 대표는 ""서울대기술지주의 혁신기업 발굴 역량과 키움증권의 자본시장 역량을 결합해 성장 가능성이 높은 기업에 필요한 자금을...",2026-08-28 10:31,http://www.yonhapnewstv.co.kr/news/AKR20260828103031pej,https://n.news.naver.com/mnews/article/422/0000900341?sid=101
서울대학교,SEOULFN,"키움증권, 서울대기술지주와 업무협약 체결 외","키움증권은 서울대기술지주와 생산적 금융과 모험자본 확대를 위한 전략적 업무협약(MOU)을 28일 체결했다고 밝혔다. 서울대기술지주는 서울대학교가 2008년 설립한 투자기관으로 초기 혁신 기업을 발굴, 투자, 육성한다....",2026-08-28 10:31,https://www.seoulfn.com/news/articleView.html?idxno=636701,https://www.seoulfn.com/news/articleView.html?idxno=636701
서울대학교,뉴스1,"유홍림 서울대 총장 ""대격변 시대…호기심과 용기로 해법 찾아가라""","서울대학교가 28일 서울대 관악캠퍼스 종합체육관에서 제80회 후기(하반기) 학위수여식을 진행했다. 이날 학사 1024명, 석사 1278명, 박사 833명 등 총 3135명이 학위를 받았다. 유홍림 서울대 총장은 학위수여식사에서...",2026-08-28 10:30,https://www.news1.kr/society/education/6272331,https://n.news.naver.com/mnews/article/421/0009137595?sid=102
서울대학교,연합뉴스,"키움증권, 서울대기술지주와 모험자본 확대 협력 MOU","이날 오전 서울 여의도 키움증권 본사에서 진행된 협약식에 참석한 엄주성 키움증권 대표는 ""서울대기술지주의 혁신기업 발굴 역량과 키움증권의 자본시장 역량을 결합해 성장 가능성이 높은 기업에 필요한 자금을...",2026-08-28 10:17,https://www.yna.co.kr/view/AKR20260828053000008?input=1195m,https://n.news.naver.com/mnews/article/001/0016276198?sid=101
서울대학교,인더뉴스,"키움증권, 서울대기술지주와 생산적금융·모험자본 확대 맞손",인더뉴스 박호식 기자ㅣ키움증권이 서울대기술지주와 생산적금융과 모험자본 확대를 위한 전략적 업무협약(MOU)을 체결했습니다. 서울대기술지주는 서울대학교가 2008년 설립한 투자기관으로 초기 혁신기업을 발굴...,2026-08-28 10:14,https://www.inthenews.co.kr/news/article.html?no=91093,https://www.inthenews.co.kr/news/article.html?no=91093
