대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
서울대학교,더퍼블릭,"코웨이-서울대, 음식물 처리기 미생물 분해 기술 이전 협약 체결",코웨이가 서울대학교와 산학협력을 통해 개발된 '미생물을 활용한 음식물쓰레기 분해 혼합 균주 개발 기술' 이전 협약을 체결했다고 밝혔다. 이번 기술 개발은 서울대학교 농업생명과학대학 강동현 교수 연구팀이...,2026-09-18 07:36,https://www.thepublic.kr/news/articleView.html?idxno=319244,https://www.thepublic.kr/news/articleView.html?idxno=319244
서울대학교,헤럴드경제,김기현 서울대 철학과 교수 ‘AI 시대의 인간다움?’ 특강,서울 서초구(구청장 전성수)는 오는 9월 30일과 10월 7일 오후 2시 서초문화예술회관 1층 아트홀에서... 이번 강연에는 김기현 서울대학교 철학과 명예교수와 문시연 숙명여자대학교 제21대 총장이 강연자로 나선다. 먼저...,2026-09-18 07:14,https://biz.heraldcorp.com/article/10877724?ref=naver,https://n.news.naver.com/mnews/article/016/0002699081?sid=102
연세대학교,후생신보,"연세대 신촌캠퍼스, 혁신성장시설·의과대학 신축 본격화","의과대학 신축도 본격화된다. (C)윤병기 기자 연세대는 기존 알렌관과 연세의료원 행정동 부지에 연면적 약 9만7천㎡, 지상 11층 규모의 의과대학을 새롭게 건립할 계획이다. 이번 사업이 완료되면 연세대 신촌캠퍼스의...",2026-09-18 07:02,http://www.whosaeng.com/sub_read.html?uid=173813&section=sc4,http://www.whosaeng.com/sub_read.html?uid=173813&section=sc4
고려대학교,LABORTODAY,"[이주호 고려대 노동문제연구소 선임연구위원] ""산별노조운동 '정체성'...",▲ 정기훈 기자 이주호(62·사진) 고려대 노동문제연구소 선임연구위원은 최근 보건의료노조를 중심으로 한 산별노조운동에 대해 집대성한 박사논문을 완성했다. 2016년 고려대 사회학 박사과정을 시작한 뒤 11년 만에...,2026-09-18 06:34,https://www.labortoday.co.kr/news/articleView.html?idxno=236854,https://www.labortoday.co.kr/news/articleView.html?idxno=236854
서울대학교,팜뉴스,"서울대·이화여대 연구진, 변이 무관 염기교정으로 조로증 치료 가능성...",서울대학교 약학대학과 이화여자대학교 약학대학 공동 연구팀은 허친슨-길포드 조기 노화 증후군(HGPS)의 주요 병인인 프로제린 단백질의 파네실화 부위를 표적으로 하는 변이 무관 염기교정 기술 'FATE...,2026-09-18 06:00,https://www.pharmnews.com/news/articleView.html?idxno=306383,https://www.pharmnews.com/news/articleView.html?idxno=306383
서울대학교,충청투데이,"[금요논평] '서울대 10개 만들기' 사업 선정, 충남대학교가 지역 인재 요...",이에 이재명 대통령은 후보 시절 수도권 일극 체제를 완화하고 지역 균형 발전을 도모하기 위해 전국의 주요 거점국립대학교를 서울대 수준의 세계적 경쟁력을 갖춘 대학으로 집중 육성하겠다는 '서울대 10개 만들기...,2026-09-18 06:00,https://www.cctoday.co.kr/news/articleView.html?idxno=2237006,https://www.cctoday.co.kr/news/articleView.html?idxno=2237006
연세대학교,NONGMIN,"당진 송악농협·NH농협생명·연세대학교 세브란스병원,농촌 순회 무료진...","충남 당진 송악농협(조합장 홍진희)이 NH농협생명, 연세대학교 세브란스병원과 함께 12일 의료 사각지대에 놓인 지역조합원들을 위해 송악문화스포츠센터 다목적체육관에서 농촌 순회 무료 진료를 했다(사진). 이날...",2026-09-18 05:01,https://www.nongmin.com/article/20260916500512,https://n.news.naver.com/mnews/article/662/0000104573?sid=102
연세대학교,국민일보,"“연세대 간호대학 120주년, ‘사랑과 섬김’의 유산으로 도약”",연세대 간호대학이 창립 120주년을 맞았다. 1906년 미국 선교사 에스더 쉴즈(Esther L Shields)의 헌신으로 시작된... 연세의 정신을 이은 리더들이 자국의 간호 인재를 키워내는 모습을 보며 쉴즈 선교사로부터 시작된 기독교...,2026-09-18 03:07,https://www.kmib.co.kr/article/view.asp?arcid=9000013235&cp=nv,https://n.news.naver.com/mnews/article/005/0001873765?sid=103
고려대학교,더퍼스트미디어,"고려대 안암병원 소화기내과 이호승·이재민 교수 연구팀, 고위험 급성...","▲좌측부터 고려대학교 안암병원 소화기내과 이호승, 이재민 교수 고려대학교 안암병원 소화기내과... 다만 연구 대상이 141명으로 비교적 제한적이고 후향적 연구라는 점 등을 고려하면, 치료 전략의 적용 범위와...",2026-09-18 01:26,http://www.thefirstmedia.net/news/articleView.html?idxno=209001,http://www.thefirstmedia.net/news/articleView.html?idxno=209001
고려대학교,더퍼스트미디어,"고려대 안산병원 비뇨의학과 배재현 교수, 방광질루 단일공 로봇수술 9...",▲고려대 안산병원 비뇨의학과 배재현 교수와 다빈치 SP 로봇수술실 고려대학교 안산병원 비뇨의학과 배재현 교수가 방광질루 환자를 대상으로 단일공 로봇수술을 시행한 결과 90%의 1차 수술 성공률을 확인했다....,2026-09-18 01:26,http://www.thefirstmedia.net/news/articleView.html?idxno=208997,http://www.thefirstmedia.net/news/articleView.html?idxno=208997
