대학,언론사,기사 제목,기사 요약,발행시각,언론사 링크,네이버 링크
서울대학교,메디게이트뉴스,서울대 의대 교수에서 이천 지역구 도전으로…김윤 “정치 바꾸는 효능...,서울대 의대 의료관리학교실 교수로 의료정책을 연구해온 더불어민주당 김윤 의원이 비례대표 국회의원을 거쳐 경기 이천 지역구에 도전한다. 국회에서 정책이 실제 제도로 바뀌는 ‘정치적 효능감’을 경험한 것이...,2026-09-01 07:08,https://www.medigatenews.com/news/1960332886,https://www.medigatenews.com/news/1960332886
서울대학교,마이데일리,"""남사친과 몽골 여행?""…성대 신세경·미스터 서울대, '사랑 싸움' 결과...","JTBC '연애전쟁'에 출연한 ‘성대 신세경’ 김예리 씨와 서울대 의과대학 박사 과정 중인 ‘미스터 서울대’ 이성준 씨가 그 주인공. 두 사람 갈등의 중심에는 여자친구 주변의 수많은 남사친이 있었다. 김예리 씨는 ""남녀...",2026-09-01 06:35,https://www.mydaily.co.kr/page/view/2026090106234969766,https://m.entertain.naver.com/article/117/0004100226
고려대학교,LABORTODAY,고려대 노동대학원·노동문제연구소 10월 '한국노동사회포럼' (온라인 수...,▲ 고려대학교 노동대학원·노동문제연구소 고려대 노동대학원·노동문제연구소(원장 겸 소장 김원섭)가 10월 인공지능(AI)과 고용·복지체제 대응을 주제로 한 한국노동사회포럼에 이어 12월 노동 분야에서 뛰어난 업적을...,2026-09-01 06:34,https://www.labortoday.co.kr/news/articleView.html?idxno=236527,https://www.labortoday.co.kr/news/articleView.html?idxno=236527
서울대학교,서울경제,‘서울대 10개’ 외치지만…거점국립대 교육투자는 제자리,1일 서울경제신문이 대학알리미 공시 자료를 분석한 결과에 따르면 서울대를 제외한 강원대·경북대·경상대·부산대·전남대·전북대·제주대·충남대·충북대 등 이른바 9개 거점 국립대의 학생 1인당 교육비는...,2026-09-01 06:01,https://www.sedaily.com/article/20085306?ref=naver,https://n.news.naver.com/mnews/article/011/0004657136?sid=102
고려대학교,이데일리,"고려대, 교과전형서 내신 90% 서류 10% 반영",고려대는 2027학년도 수시모집에서 2731명의 신입생을 선발한다. 전년 대비 28명 늘어난 수치다. 전형별 모집... 게 대학 측 설명이다. 수시모집에서 비중이 가장 큰 학생부위주전형은 학생부교과전형(학교추천전형)과...,2026-09-01 05:58,https://www.edaily.co.kr/News/Read?newsId=02102486645575856&mediaCodeNo=257&utm_source=naver&utm_medium=referral&utm_campaign=news_syndication&utm_content=original_article,https://n.news.naver.com/mnews/article/018/0006361244?sid=102
고려대학교,국민일보,정신영저널리즘 학술상에 박재영 고려대 교수,관훈클럽정신영기금은 제3회 정신영 저널리즘 학술상 수상작으로 박재영(사진) 고려대 미디어대학 교수의 책 ‘좋은 기사의 스토리텔링’을 선정했다고 31일 밝혔다. 정신영 저널리즘 학술상은 저널리즘 학계와...,2026-09-01 01:30,https://www.kmib.co.kr/article/view.asp?arcid=9000007853&cp=nv,https://n.news.naver.com/mnews/article/005/0001870097?sid=102
서울대학교,스타뉴스,"'연애전쟁' 40일 커플, 성균관대 신세경♥미스터 서울대..최다니엘 ""사기...","여성은 성균관대학교 공대 출신으로 '성대 신세경'이라는 별명으로 소개됐고 남성 또한 서울대학교 의과대학에서 박사 과정에 재학중으로 이목을 끌었다. 서장훈은 ""성대 신세경?""이라며 관심을 보였고, 이효리는 ""나름...",2026-09-01 01:08,https://www.starnewskorea.com/broadcast-show/2026/09/01/2026083123441163241,https://m.entertain.naver.com/article/108/0003466751
서울대학교,아시아경제,서울대 총장 후보 12명 확정…유홍림 연임 도전,서울대학교 제29대 총장 선거에 유홍림 현 총장을 포함한 12명이 후보로 확정됐다. 유 총장이 연임에 성공할 경우 서울대에서는 52년 만에 연임 총장이 나오게 된다. 서울대는 31일 제29대 총장후보대상자 12명을...,2026-08-31 23:59,https://view.asiae.co.kr/article/2026083123592377808,https://n.news.naver.com/mnews/article/277/0005809843?sid=102
고려대학교,서울경제,정신영 저널리즘 학술상에 박재영 고려대 교수,박재영(사진) 고려대 미디어대학 교수의 책 ‘좋은 기사의 스토리텔링’이 ‘제3회 정신영 저널리즘 학술상’ 수상작으로 선정됐다. 관훈클럽정신영기금은 9월 10일 서울 종로구 관훈동 정신영기금회관에서 학술상...,2026-08-31 23:48,https://www.sedaily.com/article/20085528?ref=naver,https://n.news.naver.com/mnews/article/011/0004657109?sid=102
서울대학교,이투데이,'연애전쟁' 성균관대 신세경 vs 미스터 서울대…남사친 충돌,'연애전쟁'에서 '성대 신세경' 김예리 씨와 '미스터 서울대' 이성준 씨가 출연한다. 31일 방송되는 JTBC '연애전쟁'에서는 이효리와 서장훈이 이성 친구 문제로 갈등을 빚는 대학생 커플의 사연에 직언을 날린다. 운동을...,2026-08-31 21:46,https://enter.etoday.co.kr/news/view/301781,https://enter.etoday.co.kr/news/view/301781
